departure_port,group,value
Alice Springs,Departure,786.161111111111
Alice Springs,Arrival,604.730769230769
Brisbane,Departure,378.977938517179
Brisbane,Arrival,341.128865979381
Cairns,Departure,361.337480559876
Cairns,Arrival,358.436170212766
Canberra,Departure,319.429824561404
Canberra,Arrival,469.544378698225
Darwin,Departure,640.033932135728
Darwin,Arrival,581.296116504854
Hamilton Island,Departure,441.378881987578
Hamilton Island,Arrival,422.556886227545
Hobart,Departure,221.106194690265
Hobart,Arrival,422.669811320755
Melbourne,Departure,296.200657894737
Melbourne,Arrival,322.588647959184
Proserpine,Departure,334.625
Proserpine,Arrival,261.470238095238
Newcastle,Departure,230.944444444444
Newcastle,Arrival,185.698507462687
Perth,Departure,676.520467836257
Perth,Arrival,635.824464409122
Gold Coast,Departure,150.122807017544
Gold Coast,Arrival,301.8
Sydney,Departure,348.334653465347
Sydney,Arrival,324.433098591549